ChannelTitle=,0 Z Force Plate,1 Z Force Plate,Summed Z Force,ZForce %MVC,EMG1 RBack or Forearm,EMG1 RBack filtered,EMG1 RBack median power,EMG1 RBack smoothed,EMG2 RGlute,EMG2 RGlute filtered,EMG2 RGlute median power,EMG2 RGlute smoothed,EMG3 RHam,EMG3 RHam filtered,EMG3 RHam median power,EMG3 RHam smoothed,EMG4 RQuad,EMG4 RQuad filtered,EMG4 RQuad median power,EMG4 RQuad smoothed
462.015,582.3827,695.2902,1277.053,29.71817,0.04675,0.06028255,0,0.06128396,-0.01460937,0.000187205,0,0.01799642,-0.055,-0.05148761,0,0.0277016,-0.00103125,-0.000134022,0,0.005501767
462.0159,581.7631,695.2902,1277.364,29.73289,0.059125,0.07059283,0,0.06128396,-0.00721875,0.006493766,0,0.01799642,-0.08473437,-0.08503254,0,0.0277016,-0.00515625,-0.005042593,0,0.005501767
462.0168,581.7631,695.9115,1277.675,29.74761,0.0460625,0.05912059,0,0.06128396,6.25E-16,0.01559063,0,0.01799642,-0.0818125,-0.07892656,0,0.0277016,-0.00515625,-0.004196642,0,0.005501767
462.0177,581.7631,695.9115,1277.675,29.74761,0.04176563,0.05414515,0,0.06128396,0.005671875,0.01860542,0,0.01799642,-0.05964062,-0.05885378,0,0.0277016,-0.002921875,-0.002630236,0,0.005501767
462.0186,581.7631,695.9115,1277.675,29.74761,0.02320313,0.03506489,0,0.06128396,0.00034375,0.01655465,0,0.01799642,-0.03059375,-0.02893041,0,0.0277016,-0.006015625,-0.005369669,0,0.005501767
462.0195,580.5239,696.5328,1277.057,29.71832,-0.02389062,-0.01025614,0,0.06128396,0.00378125,0.01639727,0,0.01799642,-0.01564062,-0.01376512,0,0.0277016,-0.0055,-0.004888795,0,0.005501767
462.0204,580.5239,695.9115,1276.435,29.68888,-0.04107812,-0.03025341,0,0.06128396,6.25E-16,0.01614557,0,0.01799642,-0.007390625,-0.00647817,0,0.0277016,-0.00240625,-0.001985926,0,0.005501767
462.0213,580.5239,694.6689,1275.193,29.63,-0.0336875,-0.01939208,0,0.06128396,0.000859375,0.01392768,0,0.01799642,-0.0116875,-0.009426185,0,0.0277016,-0.01014062,-0.009432968,0,0.005501767
462.0222,580.5239,694.6689,1275.193,29.63,-0.0309375,-0.02025461,0,0.06128396,-0.004296875,0.01108369,0,0.01799642,-0.0165,-0.01571332,0,0.0277016,-0.01185937,-0.01144061,0,0.005501767
462.0231,580.5239,695.2902,1275.814,29.65944,-0.055,-0.04105302,0,0.06128396,-0.00584375,0.008163274,0,0.01799642,-0.009453125,-0.007194308,0,0.0277016,-0.003609375,-0.002916478,0,0.005501767
462.024,580.5239,695.2902,1275.813,29.65936,-0.075625,-0.06426068,0,0.06128396,-0.009109375,0.00530723,0,0.01799642,-0.00034375,0.000506933,0,0.0277016,0.001375,0.00174066,0,0.005501767
462.0249,581.1435,694.6689,1276.432,29.68872,-0.08215625,-0.06910098,0,0.06128396,-0.01048437,0.004373688,0,0.01799642,0.01117188,0.01329107,0,0.0277016,0.004296875,0.005160057,0,0.005501767
462.0258,582.3827,694.6689,1277.052,29.71809,-0.06496875,-0.05274166,0,0.06128396,-0.00859375,0.005161495,0,0.01799642,0.01357813,0.01473621,0,0.0277016,0.006875,0.006970263,0,0.005501767
462.0267,583.0023,694.6689,1277.671,29.74746,-0.04571875,-0.03339557,0,0.06128396,-0.01134375,0.003950226,0,0.01799642,0.01220313,0.01372507,0,0.0277016,0.00825,0.009407185,0,0.005501767
462.0276,582.3827,695.2902,1277.673,29.74753,-0.01890625,-0.006110696,0,0.06128396,-0.01014062,0.003383335,0,0.01799642,0.04245313,0.04452727,0,0.0277016,0.01117188,0.01105633,0,0.005501767
462.0285,583.0023,695.9115,1278.914,29.80634,0.01323438,0.02513073,0,0.06128396,-0.01357812,0.001775463,0,0.01799642,0.03076563,0.03120134,0,0.0277016,0.0034375,0.004634638,0,0.005501767
462.0294,583.0023,695.9115,1278.914,29.80634,0.02182813,0.03507217,0,0.06128396,-0.01632812,-0.002722536,0,0.01799642,-0.02285937,-0.01984276,0,0.0277016,-0.0006875,-0.000646688,0,0.005501767
462.0303,583.0023,696.5328,1279.535,29.83579,0.03935938,0.05068353,0,0.06128396,-0.01959375,-0.00443377,0,0.01799642,-0.009453125,-0.009422103,0,0.0277016,-0.004296875,-0.00340282,0,0.005501767
462.0312,583.0023,697.1541,1280.156,29.86524,0.06084375,0.0748619,0,0.06128396,-0.01976562,-0.005873429,0,0.01799642,0.01495313,0.01746681,0,0.0277016,-0.006015625,-0.005651554,0,0.005501767
462.0321,581.7631,696.5328,1278.296,29.77706,0.05070313,0.06108291,0,0.06128396,-0.01684375,-0.002025099,0,0.01799642,0.0185625,0.02018957,0,0.0277016,-0.00240625,-0.001700405,0,0.005501767
462.033,581.7631,696.5328,1277.053,29.71817,0.009453125,0.02443003,0,0.06128396,-0.00515625,0.00908032,0,0.01799642,0.02629688,0.02626585,0,0.0277016,0.003953125,0.004244175,0,0.005501767
462.0339,581.7631,695.2902,1277.053,29.71817,-0.0103125,-0.000696558,0,0.06128396,-0.00034375,0.01420737,0,0.01799642,-0.003609375,0.001028153,0,0.0277016,0.002578125,0.003671817,0,0.005501767
462.0348,581.7631,695.2902,1277.053,29.71817,-0.02354687,-0.008265045,0,0.06128396,0.004984375,0.01934392,0,0.01799642,-0.02578125,-0.02857571,0,0.0277016,-0.00275,-0.003105638,0,0.005501767
462.0357,581.7631,695.2902,1277.053,29.71817,-0.02182812,-0.01189444,0,0.06128396,0.009453125,0.02406709,0,0.01799642,-0.01546875,-0.009077957,0,0.0277016,-0.0089375,-0.007090713,0,0.005501767
462.0366,581.7631,694.6689,1276.432,29.68873,-0.02646875,-0.01218263,0,0.06128396,0.004125,0.01825606,0,0.01799642,-0.0199375,-0.02291653,0,0.0277016,-0.006703125,-0.007714671,0,0.005501767
462.0375,582.3827,694.6689,1277.052,29.71809,0.0075625,0.01904059,0,0.06128396,-0.00309375,0.01183688,0,0.01799642,-0.06771875,-0.06290719,0,0.0277016,-0.01117187,-0.008973587,0,0.005501767
462.0384,583.0023,694.6689,1277.671,29.74746,0.03128125,0.04373914,0,0.06128396,-0.01220312,0.001638015,0,0.01799642,-0.04864062,-0.04855308,0,0.0277016,-0.01082812,-0.01174638,0,0.005501767
462.0393,581.7631,694.6689,1276.432,29.68873,0.006875,0.02014068,0,0.06128396,-0.02698437,-0.01191844,0,0.01799642,-0.0309375,-0.02999663,0,0.0277016,-0.01460937,-0.01298634,0,0.005501767
462.0402,582.3827,695.2902,1277.673,29.74753,-0.03403125,-0.02299389,0,0.06128396,-0.03403125,-0.02011424,0,0.01799642,-0.007734375,-0.003818734,0,0.0277016,-0.007046875,-0.006985338,0,0.005501767
462.0411,583.0023,695.9115,1278.914,29.80634,-0.08610937,-0.07203822,0,0.06128396,-0.04485937,-0.03008708,0,0.01799642,0.004125,0.002097305,0,0.0277016,-0.0048125,-0.004403648,0,0.005501767
462.042,583.0023,695.9115,1278.292,29.77689,-0.130625,-0.1197314,0,0.06128396,-0.04778125,-0.0334485,0,0.01799642,-0.0598125,-0.05428911,0,0.0277016,-0.009796875,-0.008501337,0,0.005501767
462.0429,583.0023,695.2902,1277.982,29.76218,-0.1806406,-0.1670149,0,0.06128396,-0.04176562,-0.02740226,0,0.01799642,-0.04210937,-0.04434698,0,0.0277016,-0.008765625,-0.009401697,0,0.005501767
462.0438,583.0023,694.6689,1277.671,29.74746,-0.2205156,-0.2088582,0,0.06128396,-0.03196875,-0.01736005,0,0.01799642,0.00240625,0.00706999,0,0.0277016,-0.01082812,-0.008831604,0,0.005501767
462.0447,583.0023,694.0477,1277.05,29.71801,-0.1969687,-0.1841461,0,0.06128396,-0.01839062,-0.00409422,0,0.01799642,-0.00103125,-0.001931632,0,0.0277016,-0.006875,-0.007802058,0,0.005501767
462.0456,582.3827,693.4264,1275.809,29.6592,-0.1075937,-0.09540926,0,0.06128396,-0.01357812,0.000905348,0,0.01799642,-0.01959375,-0.01611716,0,0.0277016,-0.01014062,-0.008236471,0,0.005501767
462.0465,582.3827,693.4264,1275.809,29.6592,-0.03145312,-0.01863651,0,0.06128396,-0.00171875,0.01281436,0,0.01799642,-0.008421875,-0.008691098,0,0.0277016,-0.006015625,-0.006570181,0,0.005501767
462.0474,581.7631,693.4264,1275.189,29.62983,0.02835938,0.04003526,0,0.06128396,0.02045313,0.03471719,0,0.01799642,0.01151563,0.01499124,0,0.0277016,0.000859375,0.002257243,0,0.005501767
462.0483,581.7631,693.4264,1275.189,29.62983,0.05671875,0.07050545,0,0.06128396,0.02921875,0.04386508,0,0.01799642,0.01907813,0.01840094,0,0.0277016,0.00584375,0.005781402,0,0.005501767
462.0492,581.1435,692.1838,1273.327,29.54158,0.0158125,0.02634614,0,0.06128396,0.03626563,0.05057314,0,0.01799642,-0.01254687,-0.008630388,0,0.0277016,0.001203125,0.002242199,0,0.005501767
462.0501,581.7631,691.5625,1273.326,29.5415,-0.06153125,-0.0467715,0,0.06128396,0.03575,0.05024548,0,0.01799642,-0.0061875,-0.006982373,0,0.0277016,0.00378125,0.003890932,0,0.005501767
462.051,581.7631,691.5625,1273.326,29.5415,-0.09401562,-0.08400047,0,0.06128396,0.01701563,0.0314859,0,0.01799642,-0.0006875,0.002816183,0,0.0277016,0.00653125,0.007566096,0,0.005501767
462.0519,581.7631,691.5625,1273.637,29.55626,-0.08421875,-0.06964424,0,0.06128396,-0.00171875,0.01270153,0,0.01799642,-0.001546875,-0.001405081,0,0.0277016,0.0061875,0.006217021,0,0.005501767
462.0528,581.1435,692.8051,1273.948,29.57102,-0.03265625,-0.02173639,0,0.06128396,-0.01667187,-0.002284593,0,0.01799642,-0.007734375,-0.005498965,0,0.0277016,0.00171875,0.002805315,0,0.005501767
462.0537,581.1435,692.8051,1273.948,29.57102,-0.00584375,0.007273096,0,0.06128396,-0.0295625,-0.01493407,0,0.01799642,0.0006875,0.00221312,0,0.0277016,-0.00103125,-0.000920682,0,0.005501767
462.0546,582.3827,692.1838,1274.566,29.6003,0.009625,0.02226516,0,0.06128396,-0.03729687,-0.02315511,0,0.01799642,0.034375,0.0352658,0,0.0277016,-0.001890625,-0.001074248,0,0.005501767
462.0555,581.7631,692.1838,1273.947,29.57094,0.02354688,0.03508509,0,0.06128396,-0.04142187,-0.02665582,0,0.01799642,0.017875,0.0206564,0,0.0277016,-0.001890625,-0.001341138,0,0.005501767
462.0564,580.5239,692.8051,1273.329,29.54166,0.01495313,0.02871963,0,0.06128396,-0.03592187,-0.02169607,0,0.01799642,-0.04004687,-0.04036579,0,0.0277016,-0.00859375,-0.008295334,0,0.005501767
462.0573,580.5239,691.5625,1272.086,29.48277,0.02303125,0.0341047,0,0.06128396,-0.03265625,-0.01824419,0,0.01799642,-0.04434375,-0.04037097,0,0.0277016,-0.01082812,-0.009824583,0,0.005501767
462.0582,580.5239,690.9412,1271.465,29.45332,0.03729688,0.05087159,0,0.06128396,-0.04107812,-0.02627824,0,0.01799642,-0.007046875,-0.008471666,0,0.0277016,-0.009109375,-0.009064741,0,0.005501767
462.0591,579.9043,691.5625,1271.467,29.4534,0.03385938,0.04559765,0,0.06128396,-0.04778125,-0.03402792,0,0.01799642,-0.001375,0.003436174,0,0.0277016,-0.01220312,-0.01123157,0,0.005501767
462.06,579.9043,691.5625,1270.845,29.42395,0.0061875,0.01892317,0,0.06128396,-0.04125,-0.02588631,0,0.01799642,0.0116875,0.009958523,0,0.0277016,-0.007390625,-0.007026946,0,0.005501767
462.0609,579.9043,690.9412,1270.845,29.42392,-0.01598437,-0.003565316,0,0.06128396,-0.02801562,-0.01457464,0,0.01799642,-0.008765625,-0.004379171,0,0.0277016,-0.006359375,-0.005906066,0,0.005501767
462.0618,580.5239,690.3199,1270.844,29.42388,-0.0075625,0.004870525,0,0.06128396,-0.02698437,-0.01162797,0,0.01799642,-0.02921875,-0.02978781,0,0.0277016,-0.006359375,-0.005423756,0,0.005501767
462.0627,580.5239,690.3199,1270.844,29.42388,0.0020625,0.01431695,0,0.06128396,-0.0171875,-0.003433311,0,0.01799642,-0.0378125,-0.03508433,0,0.0277016,-0.00240625,-0.002415069,0,0.005501767
462.0636,580.5239,690.9412,1271.465,29.45332,-0.01684375,-0.00383313,0,0.06128396,-0.01254687,0.002314225,0,0.01799642,-0.0226875,-0.0215977,0,0.0277016,-0.0061875,-0.005014353,0,0.005501767
462.0645,579.2847,691.5625,1270.847,29.42404,-0.01701562,-0.005536341,0,0.06128396,-0.01701562,-0.002738333,0,0.01799642,-0.006875,-0.005268661,0,0.0277016,-0.00240625,-0.002390593,0,0.005501767
462.0654,579.9043,691.5625,1271.467,29.4534,0.01220313,0.02595546,0,0.06128396,-0.0171875,-0.002720338,0,0.01799642,0.01770313,0.01898074,0,0.0277016,6.25278E-16,0.000934124,0,0.005501767
462.0663,579.2847,690.3199,1269.605,29.36515,0.04142188,0.05244151,0,0.06128396,-0.007390625,0.007054928,0,0.01799642,0.02389063,0.02635468,0,0.0277016,0.000515625,0.000877149,0,0.005501767
462.0672,578.0455,689.6986,1267.744,29.27697,0.05671875,0.07055092,0,0.06128396,0.00446875,0.01900403,0,0.01799642,-0.0020625,-0.002386943,0,0.0277016,0.004125,0.004735391,0,0.005501767
462.0681,576.8063,690.3199,1267.126,29.24769,0.0735625,0.08492295,0,0.06128396,0.01048438,0.02469633,0,0.01799642,0.00378125,0.007976125,0,0.0277016,0.00275,0.00331697,0,0.005501767
462.069,576.8063,690.3199,1267.125,29.24761,0.0653125,0.07846478,0,0.06128396,0.01117188,0.02599014,0,0.01799642,0.03729688,0.03582812,0,0.0277016,-0.00103125,-0.000466155,0,0.005501767
462.0699,577.4259,689.6986,1266.503,29.21817,0.05534375,0.06754887,0,0.06128396,0.01014063,0.02413954,0,0.01799642,0.01357813,0.01778628,0,0.0277016,-0.00309375,-0.002625587,0,0.005501767
462.0708,577.4259,688.4561,1265.882,29.18872,0.04760938,0.05991122,0,0.06119806,0.00171875,0.01658441,0,0.01802626,0.01426563,0.01413096,0,0.02773997,-0.00515625,-0.004413645,0,0.005508073
462.0717,576.8063,688.4561,1265.262,29.15936,0.0213125,0.03420929,0,0.06111076,0.000859375,0.0150028,0,0.01807103,0.02114063,0.02289109,0,0.0277783,-0.002578125,-0.002298814,0,0.005514623
462.0726,576.1867,688.4561,1264.643,29.12999,-0.0103125,0.001579106,0,0.06102493,0.00171875,0.01626527,0,0.01810088,0.004125,0.006979717,0,0.02781569,-0.006015625,-0.005131559,0,0.005522396
462.0735,576.1867,688.4561,1264.643,29.12999,-0.02285937,-0.009927049,0,0.06094208,-0.002921875,0.01165228,0,0.01813072,-0.01959375,-0.02059791,0,0.02785352,-0.0055,-0.00528573,0,0.005530724
462.0744,576.1867,688.4561,1264.643,29.12999,-0.0055,0.00672264,0,0.06086215,-0.001375,0.01271327,0,0.01816056,-0.03970312,-0.03505381,0,0.02789091,0.002921875,0.00379037,0,0.005538651
462.0753,576.1867,687.8348,1264.021,29.10055,0.008765625,0.02102398,0,0.06078554,0.000859375,0.01585196,0,0.01819041,-0.01701562,-0.01845231,0,0.02792533,0.0020625,0.002364209,0,0.005546572
462.0762,575.5671,687.8348,1263.402,29.07118,-0.01220312,0.000917491,0,0.06071307,-0.002234375,0.01153747,0,0.01823518,-0.006703125,-0.003026189,0,0.02796103,-0.004125,-0.003398108,0,0.005554886
462.0771,575.5671,688.4561,1264.023,29.10063,-0.03729687,-0.02602465,0,0.06064554,-0.007734375,0.007440866,0,0.01827994,0.01323438,0.01385268,0,0.02799748,-0.001375,-0.000887385,0,0.005563879
462.078,575.5671,688.4561,1264.645,29.13007,-0.0419375,-0.02793276,0,0.06058117,-0.009796875,0.003946927,0,0.01830979,0.0185625,0.01969401,0,0.0280337,0.00034375,0.000852697,0,0.00557354
