ChannelTitle=,0 Z Force Plate,1 Z Force Plate,Summed Z Force,EMG1 RBack or Forearm,EMG1 RBack filtered,EMG1 RBack median power,EMG1 RBack smoothed,EMG2 RGlute,EMG2 RGlute filtered,EMG2 RGlute median power,EMG2 RGlute smoothed,EMG3 RHam,EMG3 RHam filtered,EMG3 RHam median power,EMG3 RHam smoothed,EMG4 RQuad,EMG4 RQuad filtered,EMG RQuad median power,EMG4 RQuad smoothed
3533.5278,1459.115,1258.176,2717.291,0.003265625,0.02596818,63.22627,0.09445287,0.077,0.08327336,49.97009,0.06894097,-0.02921875,-0.00827566,134.1509,0.1048966,-0.0020625,0.005498103,54.1512,0.0203754
3533.5287,1457.256,1256.934,2714.19,-0.03970312,-0.01772791,63.22627,0.09421595,0.07167188,0.07687569,49.97009,0.06847838,-0.07596875,-0.05664663,134.1509,0.1045035,-0.00446875,0.002650106,54.1512,0.02029022
3533.5296,1456.017,1255.691,2711.708,-0.04451562,-0.02912132,63.22627,0.09398529,0.05242188,0.05726012,49.97009,0.06800087,-0.0336875,-0.01709642,134.1509,0.1041605,-0.004640625,0.002424857,54.1512,0.02020564
3533.5305,1454.158,1254.449,2708.607,-0.04640625,-0.03192451,63.22627,0.09376236,0.01821875,0.02406198,49.97009,0.06752335,0.01925,0.04410187,134.1509,0.1038716,-0.004125,0.002752065,54.1512,0.02012272
3533.5314,1452.299,1251.963,2704.263,-0.0605,-0.0512328,63.22627,0.09354505,-0.004640625,-0.000341427,49.97009,0.06704584,0.04554688,0.05824359,134.1509,0.1035858,-0.002234375,0.004264862,54.1512,0.02004088
3533.5323,1451.06,1250.721,2701.781,-0.05482812,-0.04851909,63.22627,0.09332716,-0.01684375,-0.0110892,49.97009,0.06656833,0.05070313,0.0777367,134.1509,0.1032993,-0.002234375,0.004171079,54.1512,0.01995944
3533.5332,1449.821,1249.478,2699.299,-0.02457812,-0.0206628,63.22627,0.0931083,-0.0254375,-0.02005068,49.97009,0.06609082,0.0715,0.08377356,134.1509,0.1030096,-0.00103125,0.005037168,54.1512,0.01987792
3533.5341,1446.723,1248.236,2694.959,0.00171875,0.000621731,63.22627,0.09289337,-0.03042187,-0.02565815,49.97009,0.06562823,0.08748438,0.1113214,134.1509,0.1027262,0.0006875,0.006369532,54.1512,0.01979681
3533.535,1446.723,1248.236,2692.482,0.01254688,0.01117021,63.22627,0.09268913,-0.02079687,-0.01324657,49.97009,0.06516564,0.02560938,0.04175835,134.1509,0.1024546,-0.00446875,0.001213004,54.1512,0.01971662
3533.5359,1443.625,1248.857,2691.862,0.02767188,0.0209272,63.22627,0.09249263,-0.0020625,0.0019463,49.97009,0.06470305,-0.18975,-0.1739996,134.1509,0.1021885,-0.0075625,-0.002639295,54.1512,0.01963763
3533.5368,1442.386,1248.857,2691.243,0.009109375,0.002678798,63.22627,0.09229693,0.01323438,0.02259675,49.97009,0.06424046,-0.2035,-0.1810381,134.1509,0.101923,-0.004125,0.001020933,54.1512,0.0195604
3533.5377,1441.147,1246.993,2688.14,-0.02732812,-0.03798955,63.22627,0.09210124,0.04932813,0.05405889,49.97009,0.06377787,-0.02629687,-0.02003677,134.1509,0.101643,-0.006875,-0.002599252,54.1512,0.01948518
3533.5386,1439.288,1244.508,2683.796,-0.03575,-0.04611001,63.22627,0.09190459,0.0446875,0.05472888,49.97009,0.06331528,-0.02990625,-0.003028723,134.1509,0.1013631,-0.0199375,-0.0154785,54.1512,0.01941311
3533.5395,1436.19,1243.265,2679.455,-0.0185625,-0.03193391,63.22627,0.09170681,0.03128125,0.03820418,49.97009,0.06283777,0.01254688,0.01276125,134.1509,0.1010826,-0.023375,-0.01972476,54.1512,0.01934232
3533.5404,1433.092,1241.402,2674.493,-0.0165,-0.02898058,63.22627,0.09150883,0.015125,0.02526133,49.97009,0.06236026,0.05585938,0.08104348,134.1509,0.1008024,-0.02217187,-0.01837889,54.1512,0.01927067
3533.5413,1430.613,1240.159,2670.772,-0.01254687,-0.02739019,63.22627,0.0913109,-0.02182812,-0.01231071,49.97009,0.06188275,0.0708125,0.07133899,134.1509,0.1005173,-0.017875,-0.01490227,54.1512,0.01919776
3533.5422,1429.994,1239.538,2669.532,-0.01392187,-0.02686577,63.22627,0.09111362,-0.0721875,-0.06156091,49.97009,0.06140523,0.05465625,0.0716589,134.1509,0.1002278,-0.003265625,-0.000103504,54.1512,0.01912399
3533.5431,1429.374,1239.538,2668.912,-0.0144375,-0.02898121,63.22627,0.09091743,-0.105875,-0.09418783,49.97009,0.0609128,0.0721875,0.07747313,134.1509,0.09993408,0.007734375,0.01011589,54.1512,0.01905039
3533.544,1429.374,1239.538,2665.809,-0.00859375,-0.02073399,63.22627,0.09072302,-0.1045,-0.09270885,49.97009,0.06040544,0.007046875,0.0136645,134.1509,0.09964112,0.007046875,0.009446574,54.1512,0.01897633
3533.5449,1428.135,1237.674,2664.256,-0.0020625,-0.01426204,63.22627,0.09053171,-0.08610937,-0.07265206,49.97009,0.05989809,-0.01684375,-0.007519026,134.1509,0.09935232,0.006359375,0.00838573,54.1512,0.01890168
3533.5458,1427.515,1235.189,2662.704,-0.004640625,-0.01458829,63.22627,0.09034597,-0.0845625,-0.071315,49.97009,0.05937581,0.008078125,0.007353424,134.1509,0.09906295,0.0020625,0.003573589,54.1512,0.01882666
3533.5467,1425.037,1233.946,2658.983,-0.001375,-0.009694396,63.22627,0.09017114,-0.06875,-0.05363555,49.97009,0.05883861,-0.01615625,-0.007171638,134.1509,0.09877333,0.004125,0.005856818,54.1512,0.01875194
3533.5476,1422.559,1233.325,2655.884,-0.009796875,-0.01560633,63.22627,0.09001162,-0.01460937,9.02E-05,49.97009,0.05831633,0.04520313,0.04195886,134.1509,0.09848382,0.01323438,0.01411097,54.1512,0.01867863
3533.5485,1421.319,1234.567,2655.887,-0.01082812,-0.01458889,63.22627,0.08986089,0.01770313,0.03437528,49.97009,0.05777913,0.02904688,0.03394294,134.1509,0.0981945,0.01220313,0.01328223,54.1512,0.0186062
3533.5494,1421.939,1234.567,2656.506,0.01082813,0.01128967,63.22627,0.08971108,0.0254375,0.0415048,49.97009,0.05725685,-0.1328594,-0.1357771,134.1509,0.09790865,0.01478125,0.01563285,54.1512,0.01853468
3533.5503,1422.559,1231.461,2654.02,0.01289063,0.01420099,63.22627,0.08956161,0.02870313,0.04679828,49.97009,0.05671965,-0.1586406,-0.1586586,134.1509,0.09760782,0.0199375,0.01990479,54.1512,0.01846347
3533.5512,1421.319,1230.218,2651.538,-0.002921875,0.00512934,63.22627,0.08941279,0.01684375,0.03400424,49.97009,0.05618245,0.03832813,0.03610143,134.1509,0.09728816,0.01048438,0.01171209,54.1512,0.01839136
3533.5521,1420.08,1229.597,2649.677,0.01684375,0.02437362,63.22627,0.08926425,-0.02698437,-0.007452331,49.97009,0.05563032,0.1034688,0.09969041,134.1509,0.09696769,0.00171875,0.000627248,54.1512,0.01831908
3533.553,1420.08,1229.597,2645.334,0.02835938,0.04401856,63.22627,0.08911684,-0.0639375,-0.04616679,49.97009,0.05509312,0.042625,0.04065544,134.1509,0.09664024,-0.00240625,-0.001054857,54.1512,0.01824701
3533.5539,1418.221,1227.112,2644.403,0.03179688,0.04713451,63.22627,0.08896864,-0.08542187,-0.06452707,49.97009,0.054541,0.09246875,0.08624205,134.1509,0.09631331,0.00171875,0.000257162,54.1512,0.01817493
3533.5548,1416.982,1226.491,2643.473,0.02853125,0.05125694,63.22627,0.08881897,-0.08920312,-0.07101581,49.97009,0.05398888,0.0405625,0.03859553,134.1509,0.09598012,-0.004296875,-0.003433842,54.1512,0.01810281
3533.5557,1416.982,1226.491,2643.473,0.0488125,0.0729989,63.22627,0.08866859,-0.0680625,-0.04645,49.97009,0.05343675,-0.1472969,-0.1544987,134.1509,0.09564803,-0.00378125,-0.004915783,54.1512,0.01803079
3533.5566,1417.602,1225.248,2642.85,0.06789063,0.09743656,63.22627,0.0885169,-0.02457812,-0.005580184,49.97009,0.05286971,-0.1921562,-0.1947743,134.1509,0.09529783,-0.0020625,-0.001951759,54.1512,0.01795881
3533.5575,1418.221,1223.384,2641.606,0.06479688,0.09767484,63.22627,0.08836272,-0.01684375,0.004410161,49.97009,0.05228774,-0.1558906,-0.162044,134.1509,0.09491552,0.00034375,-0.000358918,54.1512,0.01788726
3533.5584,1418.221,1222.142,2640.363,0.0495,0.08589485,63.22627,0.08820686,-0.015125,0.005056321,49.97009,0.0517207,-0.1275312,-0.131419,134.1509,0.09451164,-0.00584375,-0.006136064,54.1512,0.01781647
